1210000000532977,BAJAJ AUTO LTD.,0,1,0.05,INE917I01010,0915-1530|1815-1915:,2026-03-13,,BSE:BAJAJ-AUTO-A,12,10,532977,BAJAJ-AUTO,532977,-1.0,XX,1210000000532977,,0,0.0
1210000000500031,BAJAJ ELECTRICALS LTD.,0,1,0.05,INE193E01025,0915-1530|1815-1915:,2026-03-13,,BSE:BAJAJELEC-A,12,10,500031,BAJAJELEC,500031,-1.0,XX,1210000000500031,,0,0.0
1210000000532978,BAJAJ FINSERV LTD.,0,1,0.05,INE918I01026,0915-1530|1815-1915:,2026-03-13,,BSE:BAJAJFINSV-A,12,10,532978,BAJAJFINSV,532978,-1.0,XX,1210000000532978,,0,0.0
1210000000544252,Bajaj Housing Finance Limited,0,1,0.01,INE377Y01014,0915-1530|1815-1915:,2026-03-13,,BSE:BAJAJHFL-A,12,10,544252,BAJAJHFL,544252,-1.0,XX,1210000000544252,,0,0.0
1210000000500032,BAJAJ HINDUSTHAN SUGAR LIMITED,0,1,0.01,INE306A01021,0915-1530|1815-1915:,2026-03-13,,BSE:BAJAJHIND-A,12,10,500032,BAJAJHIND,500032,-1.0,XX,1210000000500032,,0,0.0
1210000000500490,BAJAJ HOLDINGS & INVESTMENT LT,0,1,0.05,INE118A01012,0915-1530|1815-1915:,2026-03-13,,BSE:BAJAJHLDNG-A,12,10,500490,BAJAJHLDNG,500490,-1.0,XX,1210000000500490,,0,0.0
1210000000500034,BAJAJ FINANCE LIMITED,0,1,0.05,INE296A01032,0915-1530|1815-1915:,2026-03-13,,BSE:BAJFINANCE-A,12,10,500034,BAJFINANCE,500034,-1.0,XX,1210000000500034,,0,0.0
1210000000502355,BALKRISHNA INDUSTRIES LTD.,0,1,0.05,INE787D01026,0915-1530|1815-1915:,2026-03-13,,BSE:BALKRISIND-A,12,10,502355,BALKRISIND,502355,-1.0,XX,1210000000502355,,0,0.0
1210000000500038,BALRAMPUR CHINI MILLS LTD.,0,1,0.05,INE119A01028,0915-1530|1815-1915:,2026-03-13,,BSE:BALRAMCHIN-A,12,10,500038,BALRAMCHIN,500038,-1.0,XX,1210000000500038,,0,0.0
1210000000531112,BALU FORGE INDUSTRIES LIMITED,0,1,0.05,INE011E01029,0915-1530|1815-1915:,2026-03-13,,BSE:BALUFORGE-A,12,10,531112,BALUFORGE,531112,-1.0,XX,1210000000531112,,0,0.0
1210000000500039,BANCO PRODUCTS (INDIA) LTD.,0,1,0.05,INE213C01025,0915-1530|1815-1915:,2026-03-13,,BSE:BANCOINDIA-A,12,10,500039,BANCOINDIA,500039,-1.0,XX,1210000000500039,,0,0.0
1210000000541153,Bandhan Bank Limited,0,1,0.05,INE545U01014,0915-1530|1815-1915:,2026-03-13,,BSE:BANDHANBNK-A,12,10,541153,BANDHANBNK,541153,-1.0,XX,1210000000541153,,0,0.0
1210000000532134,BANK OF BARODA,0,1,0.05,INE028A01039,0915-1530|1815-1915:,2026-03-13,,BSE:BANKBARODA-A,12,10,532134,BANKBARODA,532134,-1.0,XX,1210000000532134,,0,0.0
1210000000532149,BANK OF INDIA,0,1,0.05,INE084A01016,0915-1530|1815-1915:,2026-03-13,,BSE:BANKINDIA-A,12,10,532149,BANKINDIA,532149,-1.0,XX,1210000000532149,,0,0.0
1210000000500042,BASF INDIA LTD.,0,1,0.05,INE373A01013,0915-1530|1815-1915:,2026-03-13,,BSE:BASF-A,12,10,500042,BASF,500042,-1.0,XX,1210000000500042,,0,0.0
1210000000500043,BATA INDIA LTD.,0,1,0.05,INE176A01028,0915-1530|1815-1915:,2026-03-13,,BSE:BATAINDIA-A,12,10,500043,BATAINDIA,500043,-1.0,XX,1210000000500043,,0,0.0
1210000000506285,BAYER CROPSCIENCE LTD.,0,1,0.05,INE462A01022,0915-1530|1815-1915:,2026-03-13,,BSE:BAYERCROP-A,12,10,506285,BAYERCROP,506285,-1.0,XX,1210000000506285,,0,0.0
1210000000503960,BHARAT BIJLEE LTD.,0,1,0.05,INE464A01036,0915-1530|1815-1915:,2026-03-13,,BSE:BBL-A,12,10,503960,BBL,503960,-1.0,XX,1210000000503960,,0,0.0
1210000000500463,BLACK BOX LIMITED,0,1,0.05,INE676A01027,0915-1530|1815-1915:,2026-03-13,,BSE:BBOX-A,12,10,500463,BBOX,500463,-1.0,XX,1210000000500463,,0,0.0
1210000000501425,The Bombay Burmah Trading Corp,0,1,0.05,INE050A01025,0915-1530|1815-1915:,2026-03-13,,BSE:BBTC-A,12,10,501425,BBTC,501425,-1.0,XX,1210000000501425,,0,0.0
1210000000541143,Bharat Dynamics Limited,0,1,0.05,INE171Z01026,0915-1530|1815-1915:,2026-03-13,,BSE:BDL-A,12,10,541143,BDL,541143,-1.0,XX,1210000000541143,,0,0.0
1210000000543253,Mrs. Bectors Food Specialities,0,1,0.05,INE495P01020,0915-1530|1815-1915:,2026-03-13,,BSE:BECTORFOOD-A,12,10,543253,BECTORFOOD,543253,-1.0,XX,1210000000543253,,0,0.0
1210000000500049,BHARAT ELECTRONICS LTD.,0,1,0.05,INE263A01024,0915-1530|1815-1915:,2026-03-13,,BSE:BEL-A,12,10,500049,BEL,500049,-1.0,XX,1210000000500049,,0,0.0
1210000000500048,BEML LTD.,0,1,0.05,INE258A01024,0915-1530|1815-1915:,2026-03-13,,BSE:BEML-A,12,10,500048,BEML,500048,-1.0,XX,1210000000500048,,0,0.0
1210000000509480,BERGER PAINTS INDIA LTD.,0,1,0.05,INE463A01038,0915-1530|1815-1915:,2026-03-13,,BSE:BERGEPAINT-A,12,10,509480,BERGEPAINT,509480,-1.0,XX,1210000000509480,,0,0.0
1210000000500493,BHARAT FORGE LTD.,0,1,0.05,INE465A01025,0915-1530|1815-1915:,2026-03-13,,BSE:BHARATFORG-A,12,10,500493,BHARATFORG,500493,-1.0,XX,1210000000500493,,0,0.0
1210000000532454,BHARTI AIRTEL LTD.,0,1,0.05,INE397D01024,0915-1530|1815-1915:,2026-03-13,,BSE:BHARTIARTL-A,12,10,532454,BHARTIARTL,532454,-1.0,XX,1210000000532454,,0,0.0
1210000000544162,Bharti Hexacom Limited,0,1,0.05,INE343G01021,0915-1530|1815-1915:,2026-03-13,,BSE:BHARTIHEXA-A,12,10,544162,BHARTIHEXA,544162,-1.0,XX,1210000000544162,,0,0.0
1210000000500103,BHARAT HEAVY ELECTRICALS LTD.,0,1,0.05,INE257A01026,0915-1530|1815-1915:,2026-03-13,,BSE:BHEL-A,12,10,500103,BHEL,500103,-1.0,XX,1210000000500103,,0,0.0
1210000000543653,Bikaji Foods International Lim,0,1,0.05,INE00E101023,0915-1530|1815-1915:,2026-03-13,,BSE:BIKAJI-A,12,10,543653,BIKAJI,543653,-1.0,XX,1210000000543653,,0,0.0
1210000000532523,BIOCON LTD.,0,1,0.05,INE376G01013,0915-1530|1815-1915:,2026-03-13,,BSE:BIOCON-A,12,10,532523,BIOCON,532523,-1.0,XX,1210000000532523,,0,0.0
1210000000500335,BIRLA CORPORATION LTD.,0,1,0.05,INE340A01012,0915-1530|1815-1915:,2026-03-13,,BSE:BIRLACORPN-A,12,10,500335,BIRLACORPN,500335,-1.0,XX,1210000000500335,,0,0.0
1210000000544288,BlackBuck Limited,0,1,0.05,INE0UIZ01018,0915-1530|1815-1915:,2026-03-13,,BSE:BLACKBUCK-A,12,10,544288,BLACKBUCK,544288,-1.0,XX,1210000000544288,,0,0.0
1210000000540073,BLS International Services Ltd,0,1,0.05,INE153T01027,0915-1530|1815-1915:,2026-03-13,,BSE:BLS-A,12,10,540073,BLS,540073,-1.0,XX,1210000000540073,,0,0.0
1210000000526612,BLUE DART EXPRESS LTD.,0,1,0.05,INE233B01017,0915-1530|1815-1915:,2026-03-13,,BSE:BLUEDART-A,12,10,526612,BLUEDART,526612,-1.0,XX,1210000000526612,,0,0.0
1210000000544009,Blue Jet Healthcare Limited,0,1,0.05,INE0KBH01020,0915-1530|1815-1915:,2026-03-13,,BSE:BLUEJET-A,12,10,544009,BLUEJET,544009,-1.0,XX,1210000000544009,,0,0.0
1210000000500067,BLUE STAR LTD.,0,1,0.05,INE472A01039,0915-1530|1815-1915:,2026-03-13,,BSE:BLUESTARCO-A,12,10,500067,BLUESTARCO,500067,-1.0,XX,1210000000500067,,0,0.0
1210000000500020,BOMBAY DYEING & MFG.CO.LTD.,0,1,0.05,INE032A01023,0915-1530|1815-1915:,2026-03-13,,BSE:BOMDYEING-A,12,10,500020,BOMDYEING,500020,-1.0,XX,1210000000500020,,0,0.0
1210000000502219,BOROSIL RENEWABLES LIMITED,0,1,0.05,INE666D01022,0915-1530|1815-1915:,2026-03-13,,BSE:BORORENEW-A,12,10,502219,BORORENEW,502219,-1.0,XX,1210000000502219,,0,0.0
1210000000500530,BOSCH LTD.,0,1,0.05,INE323A01026,0915-1530|1815-1915:,2026-03-13,,BSE:BOSCHLTD-A,12,10,500530,BOSCHLTD,500530,-1.0,XX,1210000000500530,,0,0.0
1210000000500547,BHARAT PETROLEUM CORPORATION L,0,1,0.05,INE029A01011,0915-1530|1815-1915:,2026-03-13,,BSE:BPCL-A,12,10,500547,BPCL,500547,-1.0,XX,1210000000500547,,0,0.0
1210000000532929,BRIGADE ENTERPRISES LTD.,0,1,0.05,INE791I01019,0915-1530|1815-1915:,2026-03-13,,BSE:BRIGADE-A,12,10,532929,BRIGADE,532929,-1.0,XX,1210000000532929,,0,0.0
1210000000500825,BRITANNIA INDUSTRIES LTD.,0,1,0.05,INE216A01030,0915-1530|1815-1915:,2026-03-13,,BSE:BRITANNIA-A,12,10,500825,BRITANNIA,500825,-1.0,XX,1210000000500825,,0,0.0
1210000000541313,ICICI Prudential BSE 500 ETF,0,1,0.01,INF109KC1V59,0915-1530|1815-1915:,2026-03-13,,BSE:BSE500IETF-A,12,10,541313,BSE500IETF,541313,-1.0,XX,1210000000541313,,0,0.0
1210000000540008,Aditya Birla Sun Life BSE Sens,0,1,0.01,INF209KB10E8,0915-1530|1815-1915:,2026-03-13,,BSE:BSLSENETFG-A,12,10,540008,BSLSENETFG,540008,-1.0,XX,1210000000540008,,0,0.0
1210000000532400,BIRLASOFT LIMITED,0,1,0.05,INE836A01035,0915-1530|1815-1915:,2026-03-13,,BSE:BSOFT-A,12,10,532400,BSOFT,532400,-1.0,XX,1210000000532400,,0,0.0
